id;prompt;is_positive
MSI01;I spend a lot of my free time doing music-related activities.;TRUE
MSI03;I enjoy writing about music, for example on blogs and forums.;TRUE
MSI04;If somebody starts singing a song I don't know, I can usually join in.;TRUE
MSI07;I can sing or play music from memory.;TRUE
MSI10;I am able to hit the right notes when I sing along with a recording.;TRUE
MSI12;I can compare and discuss differences between two performances or versions of the same piece of music.;TRUE
MSI14;I have never been complimented for my talents as a musical performer.;FALSE
MSI15;I often read or search the internet for things related to music.;TRUE
MSI17;I am not able to sing in harmony when somebody is singing a familiar tune.;FALSE
MSI19;I am able to identify what is special about a given musical piece.;TRUE
MSI23;When I sing, I have no idea whether I'm in tune or not.;FALSE
MSI24;Music is kind of an addiction for me - I couldn't live without it.;TRUE
MSI25;I don’t like singing in public because I’m afraid that I would sing wrong notes.;FALSE
MSI27;I would not consider myself a musician.;FALSE
MSI29;After hearing a new song two or three times, I can usually sing it by myself.;TRUE
